Time/Absolute Time,Time/System Time,Time/System Time - Microseconds
3799238057.7760186,14325.7,14325700000.0
3799238057.8767486,14325.800000000001,14325800000.0
3799238057.9764833,14325.900000000001,14325900000.0
3799238058.076216,14326.0,14326000000.0
3799238058.1759486,14326.1,14326100000.0
3799238058.27668,14326.2,14326200000.0
3799238058.376412,14326.300000000001,14326300000.0
3799238058.4761457,14326.400000000001,14326400000.0
3799238058.5758786,14326.5,14326500000.0
3799238058.6766095,14326.6,14326600000.0
3799238058.7763424,14326.7,14326700000.0
3799238058.8760753,14326.800000000001,14326800000.0
3799238058.9768057,14326.900000000001,14326900000.0
3799238059.0764976,14327.0,14327000000.0
3799238059.1762304,14327.1,14327100000.0
3799238059.2759633,14327.2,14327200000.0
3799238059.3766937,14327.300000000001,14327300000.0
3799238059.476427,14327.400000000001,14327400000.0
3799238059.57616,14327.5,14327500000.0
3799238059.675894,14327.6,14327600000.0
3799238059.776624,14327.7,14327700000.0
3799238059.8763566,14327.800000000001,14327800000.0
3799238059.9760904,14327.900000000001,14327900000.0
3799238060.0758233,14328.0,14328000000.0
3799238060.176554,14328.1,14328100000.0
3799238060.2762866,14328.2,14328200000.0
3799238060.37602,14328.300000000001,14328300000.0
3799238060.475872,14328.400000000001,14328400000.0
3799238060.5766025,14328.5,14328500000.0
3799238060.676336,14328.6,14328600000.0
3799238060.7760687,14328.7,14328700000.0
3799238060.8766465,14328.800000000001,14328800000.0
3799238060.97638,14328.900000000001,14328900000.0
3799238061.0761127,14329.0,14329000000.0
3799238061.1758466,14329.1,14329100000.0
3799238061.276577,14329.2,14329200000.0
3799238061.3763103,14329.300000000001,14329300000.0
3799238061.476043,14329.400000000001,14329400000.0
3799238061.5767736,14329.5,14329500000.0
3799238061.676507,14329.6,14329600000.0
3799238061.7760754,14329.7,14329700000.0
3799238061.876806,14329.800000000001,14329800000.0
3799238061.976538,14329.900000000001,14329900000.0
3799238062.076272,14330.0,14330000000.0
3799238062.176005,14330.1,14330100000.0
3799238062.2767353,14330.2,14330200000.0
3799238062.376468,14330.300000000001,14330300000.0
3799238062.4762015,14330.400000000001,14330400000.0
3799238062.5759344,14330.5,14330500000.0
3799238062.676666,14330.6,14330600000.0
3799238062.776398,14330.7,14330700000.0
3799238062.876047,14330.800000000001,14330800000.0
3799238062.9767776,14330.900000000001,14330900000.0
3799238063.0765114,14331.0,14331000000.0
3799238063.176244,14331.1,14331100000.0
3799238063.2759776,14331.2,14331200000.0
3799238063.376708,14331.300000000001,14331300000.0
3799238063.476441,14331.400000000001,14331400000.0
3799238063.5761743,14331.5,14331500000.0
3799238063.675907,14331.6,14331600000.0
3799238063.7766376,14331.7,14331700000.0
3799238063.8763714,14331.800000000001,14331800000.0
